Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
"EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)",32,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION,1669,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION CAUSE SBI PC38.04(b2B),6,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION CAUSING DEATH,2,A,HOMICIDE OFFENSES,1
EVADING ARREST DETENTION W/PREV CONVICTION,82,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),246,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION W/VEH,294,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION W/VEH OR WATERCRAFT,100,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION W/VEHICHLE PC38.04(b)(2)(A),104,B,ALL OTHER OFFENSES,0
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),1092,B,ALL OTHER OFFENSES,0
FAIL TO COMPLY SEX OFFENDERS DUTY TO REGISTER 10YRS,16,B,ALL OTHER OFFENSES,0
FAIL TO COMPLY SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY (CCCP 62.102(B)(3)),11,B,ALL OTHER OFFENSES,0
