Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
"THEFT ORG RETAIL -(BY EMP) >$2500<$30,000",4,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL -(NOT EMP)> $1500<$20,000",10,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL -(NOT EMP)> OR EQUAL $20K<$100,1,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL -(NOT EMP)> OR EQUAL $30K<$150,1,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL > OR EQUAL $100 <$750 (NOT EMP) PC31.16(c2),1,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL > OR EQUAL $2,500 <$30K (EMP) PC31.16 (c4)",1,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL > OR EQUAL $300K (EMP) PC31.16 (c7),1,A,LARCENY/ THEFT OFFENSES,1
THEFT TAMPER MULTICHANNEL VIDEO REMUNERATION,1,A,LARCENY/ THEFT OFFENSES,1
THEFT TELECOM SER <$500,1,A,LARCENY/ THEFT OFFENSES,1
"THEFT TELECOM SER > OR EQUAL $500 BUT <$1,500",1,A,LARCENY/ THEFT OFFENSES,1
THREATENING PHONE CALLS,739,B,ALL OTHER OFFENSES,0
TRADEMARK COUNTERFEITING <$100,3,A,COUNTERFEITING / FORGERY,1
"TRADEMARK COUNTERFEITING > OR EQUAL TO $1,500 BUT < $20K",2,A,COUNTERFEITING / FORGERY,1
TRADEMARK COUNTERFEITING > OR EQUAL TO $100 < $750 PC32.23 (e2),2,A,COUNTERFEITING / FORGERY,1
"TRADEMARK COUNTERFEITING > OR EQUAL TO $2,500 < $30K PC32.23 (e4)",2,A,COUNTERFEITING / FORGERY,1
TRADEMARK COUNTERFEITING > OR EQUAL TO $20 BUT < $500,1,A,COUNTERFEITING / FORGERY,1
TRADEMARK COUNTERFEITING > OR EQUAL TO $750 < $2500 PC32.23 (e3),3,A,COUNTERFEITING / FORGERY,1
TRADEMARK COUNTERFEITING > OR EQUAL TO $750 BUT < $2500,2,A,COUNTERFEITING / FORGERY,1
TRAF VIO - DRIVER LICENSE/ID FALSE,8,A,FRAUD OFFENSES,1
TRAF VIO - DUTY ON STRIKE FIXTURE/HWY LANDSCAPE< $200,294,C,MISCELLANEOUS,0
TRAF VIO - DUTY ON STRIKE FIXTURE/HWY LANDSCAPE> OR EQUAL $200,2576,C,MISCELLANEOUS,0
TRAF VIO - DUTY ON STRIKE UNATTENDED (PARKED) VEHICLE >$200 DAMAGE,4153,C,MISCELLANEOUS,0
TRAF VIO - DUTY ON STRIKE UNATTENDED (PARKED) VEHICLE< $200 DAMAG,455,C,MISCELLANEOUS,0
TRAF VIO - DUTY ON STRIKING UNATTENDED VEH,319,C,MISCELLANEOUS,0
TRAF VIO - RACING ON HIGHWAY,15,C,MISCELLANEOUS,0
TRAF VIO - RACING ON HIGHWAY CAUSING BODILY INJURY,3,C,MISCELLANEOUS,0
TRAF VIO - RACING ON HIGHWAY CAUSING SERIOUS BODILY INJ,12,C,MISCELLANEOUS,0
TRAF VIO -DISOBEY WARN SIGN/BARRICADE OVER ROAD,2,C,MISCELLANEOUS,0
TRAF VIO -DISPLAY FICTITIOUS LICENSE PLATE,34,A,FRAUD OFFENSES,1
TRAF VIO -DISPLAY FICTITIOUS MOTOR VEH REGISTRATION,4,A,FRAUD OFFENSES,1
TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,553,C,MISCELLANEOUS,0
TRAF VIO -DRIVING W VIO  FIN RESP ACCIDENT SBI/DEATH,10,C,MISCELLANEOUS,0
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE <  $200,282,C,MISCELLANEOUS,0
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2790,C,MISCELLANEOUS,0
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH < $200,713,C,MISCELLANEOUS,0
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,6995,C,MISCELLANEOUS,0
TRAF VIO -FAIL TO COMPLY W/FINAN STATEMENT REQUIRES,16,B,ALL OTHER OFFENSES,0
TRAF VIO -KNOWINGLY ALTERED LICENSE PLATE,1,A,FRAUD OFFENSES,1
TRAF VIO -LICENSE CARRIED/EXHIBITED ON DEMAND 3RD,5,C,MISCELLANEOUS,0
TRAF VIO -MAKE/POSS CFT INSP RPT/INS DOC INTD HARM/DEFRAUD,1,A,COUNTERFEITING / FORGERY,1
TRAF VIO -MAKE/POSS COUNTERFEIT VEH INSP REPORT/INS DOC,8,A,COUNTERFEITING / FORGERY,1
TRAF VIO -OP OF MOTOR VEH REG SUSPENDED,11,C,MISCELLANEOUS,0
TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,232,C,MISCELLANEOUS,0
TRAF VIO -PASS EMERG VEH CAUSING BODILY INJURY,6,B,ALL OTHER OFFENSES,0
TRAF VIO -RACING ON HIGHWAY,74,C,MISCELLANEOUS,0
TRAF VIO -RACING ON HIGHWAY CAUSING BODILY INJURY,9,C,MISCELLANEOUS,0
TRAF VIO -RACING ON HIGHWAY CAUSING SERIOUS BODILY INJ,16,C,MISCELLANEOUS,0
TRAF VIO -RACING ON HIGHWAY WITH PREV CONV OR W/DWI,3,C,MISCELLANEOUS,0
TRAF VIO -RECKLESS DRIVING,268,C,MISCELLANEOUS,0
TRAF VIO -VEH INSPECTION RPT/INSURANCE DOC VIOLATION,4,B,ALL OTHER OFFENSES,0
TRAFFIC FATALITY- NOT DWI- UNINTENTIONAL (NO OFFENSE),632,B,ALL OTHER OFFENSES,0
TRAFFIC VIOLATION - HAZARDOUS,401,B,ALL OTHER OFFENSES,0
TRAFFIC VIOLATION - NON HAZARDOUS,1052,C,MISCELLANEOUS,0
TRAFFICKING OF PERSONS  BENEFIT,1,A,HUMAN TRAFFICKING,1
TRAFFICKING OF PERSONS (PROSTITUTION/FORCED LABOR) <18 FOR,1,A,HUMAN TRAFFICKING,1
TRAFFICKING OF PERSONS ENGAGE CONDUCT/SEXUAL,2,A,HUMAN TRAFFICKING,1
TRAFFICKING OF PERSONS ENGAGE CONDUCT/SEXUAL/BENEFIT,1,A,HUMAN TRAFFICKING,1
TRAFFICKING OF PERSONS PROHIBITED SEXUAL CONDUCT,1,A,HUMAN TRAFFICKING,1
TRAFFICKING OF PERSONS W/INTENT FORCED LABOR,2,A,HUMAN TRAFFICKING,1
"TRAFFICKING OF PERSONS, CONTINUOUS",3,A,HUMAN TRAFFICKING,1
UCR - ASSAULT (AGG) M/V,61,A,MOTOR VEHICLE THEFT,1
UCR - BMV-,7,A,MOTOR VEHICLE THEFT,1
UCR - BMV (NO CODE),289,A,MOTOR VEHICLE THEFT,1
UCR - BMV- STOLEN PROP/DAMAGE COLUMN/IGNITION - AUTO (UCR PURPOSES ONLY),787,A,MOTOR VEHICLE THEFT,1
UCR - BMV- STOLEN PROP/DAMAGE COLUMN/IGNITION -OTHER,2,A,MOTOR VEHICLE THEFT,1
UCR - BMV- STOLEN PROP/DAMAGE COLUMN/IGNITION -TRUCK,13,A,MOTOR VEHICLE THEFT,1
UCR - DEADLY CONDUCT,667,A,ASSAULT OFFENSES,1
UNAUTH OPERATION RECORDING DEVICE MOTION PICTURE THEATER,1,A,COUNTERFEITING / FORGERY,1
UNAUTHORIZED REPRODUCTION OF TEXAS TEMP TAG,2,A,FRAUD OFFENSES,1
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,5528,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - (ATT) OTHER VEH,336,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,3540,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,74852,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,4497,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,938,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,31938,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF MOTOR VEH -(TEST DRIVE,41,A,MOTOR VEHICLE THEFT,1
UNAUTHORIZED USE OF TEXAS TEMP TAG,2,B,ALL OTHER OFFENSES,0
UNEXPLAINED DEATH (NO OFFENSE),3420,B,ALL OTHER OFFENSES,0
UNL CARRY WEAPON KNIFE SCHOOL/EDU RELATED,1,A,WEAPON LAW VIOLATIONS,0
UNL INTER/USE/DISC WIRE/ORAL ELEC COMMUNICATE,10,A,FRAUD OFFENSES,1
UNLAWFUL CARRY HANDGUN LIC HOLDER,54,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRY HANDGUN LIC HOLDER ALCH PREM/CORR FAC,1,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRY WEAPON/WEAPONS FREE ZONE,22,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRY WEAPON/WEAPONS FREE ZONE IAT,19,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRYING WEAPON,1853,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRYING WEAPON ON ALCH PREMISES IAT WFZ,1,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRYING WEAPON ON ALCOHOL PREMISES,49,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRYING WEAPON PROHIBITED PLACES,103,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL CARRYING WEAPON PROHIBITED PLACES IAT WFZ,2,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL DISCLOSURE OR PROMOTION OF INTIMATE VISUAL MATERIAL,61,B,ALL OTHER OFFENSES,0
UNLAWFUL INSTALLATION OF TRACKING DEVICE,5,B,ALL OTHER OFFENSES,0
UNLAWFUL POSS FIREARM BY FELON,928,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL POSS FIREARM BY FELON WEAPONS FREE ZONE,8,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL POSS FIREARM BY FELON WEAPONS FREE ZONE IAT,6,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL POSS FIREARM INVOLVING FAMILY/HOUSEHOLD,2,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL POSS FIREARM INVOLVING FAMILY/HOUSEHOLD/CT ORDR,2,A,WEAPON LAW VIOLATIONS,0
UNLAWFUL POSS METAL OR BODY ARMOR BY FELON,9,C,MISCELLANEOUS,0
UNLAWFUL RESTRAINT,71,A,KIDNAPPING/ ABDUCTION,1
UNLAWFUL RESTRAINT:EXPOSE TO SBI,11,A,KIDNAPPING/ ABDUCTION,1
UNREGISTERED CLUB - PROHIBITED ACTIVITIES,4,C,MISCELLANEOUS,0
UNSOLICITED ELECTRONIC MAIL MESSAGES,1,B,ALL OTHER OFFENSES,0
URINATING OR DEFECATING IN PUBLIC,14,B,ALL OTHER OFFENSES,0
VIO BOND/PROTECTIVE ORDER,649,B,ALL OTHER OFFENSES,0
VIO BOND/PROTECTIVE ORDER 2+ PREV CONVICTIONS,14,B,ALL OTHER OFFENSES,0
VIO BOND/PROTECTIVE ORDER ASSAULT/STALKING,31,B,ALL OTHER OFFENSES,0
VIO PROTECT ORDER BIAS/PREJUD W/2+ PREV CONV.,1,B,ALL OTHER OFFENSES,0
VIO PROTECT ORDER BIAS/PREJUDICE,22,B,ALL OTHER OFFENSES,0
VIOL BOND/PROTECTIVE ORDER ASSAULT/STALK IAT,3,B,ALL OTHER OFFENSES,0
VOIDED OFFENSE,28,B,ALL OTHER OFFENSES,1
